plant,process,master_data_name,location,immobilization_number,year,equipment_commercialized,pdr_commercialized,age,degradability,production_hours,hp_coefficient,replacement_parts,maintenance_mttr_mtbf,technology,aging_result,equipment_status
LTN3B,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,vkf,2141221269,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,2143221202,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,2143221201,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,vkf,2141210901,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Stripping Machine,Schleuniger--JS 8400,vkf,immo917828,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Stripping Machine,Komax--Mira 230,vkf,2120181103,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142111104,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Shrinking Machine Tunnel,Mecalbi--STCS-CS19,vkf,2200200704,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142090203,2009,TRUE,TRUE,16,0.7,3920,0.75,0,0,0,0.495,Moyen
LTN3B,Shrinking Machine Shuttle,Mecalbi--STCS-RT,vkf,2200200705,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142111106,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Crimping Press Wire < 6mm2,Hanke--Crimpmatic 100 014,vkf,2142191001,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Crimping Press Wire < 6mm2,Hanke--Crimpmatic 100 014,vkf,2142191002,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142110702,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142110603,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142120803,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142120607,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142110508,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142110502,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Crimping Press Cable > 6mm2,Schaefer--EPS 15000,vkf,2142190601,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Crimping Press Cable > 6mm2,Schaefer--EPS 15000,vkf,2142190602,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Crimping Press Cable > 6mm2,Schaefer--EPS 10000,vkf,21421100502,2010,TRUE,TRUE,15,0.7,3920,0.75,0,0,0,0.495,Moyen
LTN3B,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2100,vkf,immo292293,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2100,vkf,immo672735,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2100,vkf,immo921532,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2000,vkf,immo318705,2017,TRUE,TRUE,8,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Shrinking Machine Shuttle,Mecalbi--STCS-RT,vkf,8200180605,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Shrinking Machine Shuttle,Mecalbi--STCS-RT,vkf,2200190201,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Soldering Bath,LEONI WDEKI--Welding Bath,vkf,2110200601,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Soldering Bath,LEONI WDEKI--Welding Bath,vkf,2110200801,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Stripping Machine,Komax--Delta 60,vkf,immo341920,2023,TRUE,TRUE,2,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142230901,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Stripping Machine,Komax--Mira 230,vkf,immo147021,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,4143231001,2023,TRUE,TRUE,2,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110230201,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,4200220501,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,2110120501,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,8110230704,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210906,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200200703,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220633,2023,TRUE,TRUE,2,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220801,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220605,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220821,2023,TRUE,TRUE,2,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Assembly Line DAL / LAD,Vision Industrielle--Assembly Line Lad,assembly/testing,2144190903,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220614,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220612,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220613,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220611,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145211110,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,4145211216,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145200801,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210407,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145190955,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210307,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145190723,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145190936,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210404,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210955,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210903,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210212,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145190936,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210306,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Assembly Line DAL / LAD,Vision Industrielle--Assembly Line Lad,assembly/testing,214422080,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220820,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145130821,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220820,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210304,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145130819,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,4145130425,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Assembly Line DAL / LAD,Vision Industrielle--Assembly Line Lad,assembly/testing,2145191016,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210302,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210204,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210203,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145190934,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145190722,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210305,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210401,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210205,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210207,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,4145130425,2013,TRUE,TRUE,12,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145100608,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145200611,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145200706,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,immo119633,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145200704,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145150339,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145190934,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145200703,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210202,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145080711,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145200901,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145200705,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Table,TSK--Test Table,assembly/testing,2020-3125,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
