plant,process,master_data_name,location,immobilization_number,serial_number,year,equipment_commercialized,pdr_commercialized,age,degradability,production_hours,hp_coefficient,replacement_parts,maintenance_mttr_mtbf,technology,aging_result,equipment_status,RUL
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142111104,184,2011,True,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,6
LTN3B,Shrinking Machine Tunnel,Mecalbi--STCS-CS19,vkf,2200200704,422,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,15
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142090203,139,2009,True,True,16,0.7,3920,0.75,0,0,0,0.495,Moyen,6
LTN3B,Shrinking Machine Shuttle,Mecalbi--STCS-RT,vkf,2200200705,187,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,16
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142111106,186,2011,True,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,8
LTN3B,Crimping Press Wire < 6mm2,Hanke--Crimpmatic 100 014,vkf,2142191001,701/g 23,2019,True,True,6,0.0,3920,0.75,0,0,0,0.075,Excellent,13
LTN3B,Crimping Press Wire < 6mm2,Hanke--Crimpmatic 100 014,vkf,2142191002,701/g 24,2019,True,True,6,0.0,3920,0.75,0,0,0,0.075,Excellent,14
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142110702,4393,2011,True,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,4
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142110603,4342,2011,True,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,1
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142120803,3961,2011,True,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,6
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142120607,4576,2011,True,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,6
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142110508,172,2011,True,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,5
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 3000,vkf,2142110502,168,2011,True,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,5
LTN3B,Crimping Press Cable > 6mm2,Schaefer--EPS 15000,vkf,2142190601,10043,2019,True,True,6,0.0,3920,0.75,0,0,0,0.075,Excellent,12
LTN3B,Crimping Press Cable > 6mm2,Schaefer--EPS 15000,vkf,2142190602,10042,2019,True,True,6,0.0,3920,0.75,0,0,0,0.075,Excellent,14
LTN3B,Crimping Press Cable > 6mm2,Schaefer--EPS 10000,vkf,21421100502,217,2010,True,True,15,0.7,3920,0.75,0,0,0,0.495,Moyen,4
LTN3B,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2100,vkf,immo817721,483,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2100,vkf,immo249060,131,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2100,vkf,immo690495,40027,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Soldering Machine Induction,Flacara Electric--Soldering System Unisold 2000,vkf,immo268398,321,2017,True,True,8,0.4,3920,0.75,0,0,0,0.315,Bon,16
LTN3B,Shrinking Machine Shuttle,Mecalbi--STCS-RT,vkf,8200180605,123,2018,True,True,7,0.4,3920,0.75,0,0,0,0.315,Bon,13
LTN3B,Shrinking Machine Shuttle,Mecalbi--STCS-RT,vkf,2200190201,144,2018,True,True,7,0.4,3920,0.75,0,0,0,0.315,Bon,13
LTN3B,Soldering Bath,LEONI WDEKI--Welding Bath,vkf,2110200601,FX301B,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Soldering Bath,LEONI WDEKI--Welding Bath,vkf,2110200801,fx300,2018,True,True,7,0.4,3920,0.75,0,0,0,0.315,Bon,9
LTN3B,Stripping Machine,Komax--Delta 60,vkf,immo803565,115,2023,True,True,2,0.0,3920,0.75,0,0,0,0.075,Excellent,23
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142230901,1746,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Stripping Machine,Komax--Mira 230,vkf,immo980440,4440,2019,True,True,6,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,4143231001,1202,2023,True,True,2,0.0,3920,0.75,0,0,0,0.075,Excellent,22
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110230201,2740208,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,4200220501,1438,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,2110120501,5250-1,2019,True,True,6,0.0,3920,0.75,0,0,0,0.075,Excellent,12
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,8110230704,2824669,2019,True,True,6,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210906,2614-6,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200200703,223,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220633,TS1500-402460-3090-94,2023,True,True,2,0.0,3920,0.75,0,0,0,0.075,Excellent,22
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220801,TS1500-402461-3090-95,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,22
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220605,TS1500-402460-3090-96,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220821,TS1500-401664-3090-113,2023,True,True,2,0.0,3920,0.75,0,0,0,0.075,Excellent,23
LTN3B,Assembly Line DAL / LAD,Vision Industrielle--Assembly Line Lad,assembly/testing,2144190903,65,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220614,TS1500-401664-3090-11,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220612,TS1500-40166-3090-106,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220613,TS1500-402460-3090-93,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220611,TS1500-402460-3090-88,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145211110,TS1500-402460-3090-84,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Test Table,TSK--Test Table,assembly/testing,4145211216,TS1500-402460-3090-85,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145200801,TS1500-402460-3090-39,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210407,TS1500-402460-3090-70,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,21
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145190955,TS1500-402460-3090-68,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210307,TS1500-402461-3090-16,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145190723,TS1500-402461-3090-02,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145190936,TS1500-402460-3090-16,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210404,TS1500-402460-3090-64,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210955,TS1500-402461-3090-17,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210903,TS1500-402461-3090-18,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210212,TS1500-402461-3090-13,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145190936,TS1500-402461-3090-016,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,16
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210306,TS1500-402461-3090-15,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Assembly Line DAL / LAD,Vision Industrielle--Assembly Line Lad,assembly/testing,214422080,60,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220820,TS1500-402460-3090-65,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145130821,TS1500-401670-3090-008,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145220820,402460-3090-91,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210304,TS1500-401670-3090-59,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145130819,TS1500-401670-3090-006,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Test Table,TSK--Test Table,assembly/testing,4145130425,TS1500-401670-3090-004,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Assembly Line DAL / LAD,Vision Industrielle--Assembly Line Lad,assembly/testing,2145191016,64,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,21
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210302,TS1500-402460-3090-62,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210204,TS1500-402460-3090-56,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210203,TS1500-402641-3090-12,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145190934,TS1500-402460-3090-014,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145190722,402461-3090-01,2019,True,True,6,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210305,401670-3090-60,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210401,TS1500-402460-3090-63,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210205,TS1500-402460-3090-55,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145210207,TS1500-402460-3090-54,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Test Table,TSK--Test Table,assembly/testing,4145130425,3090-401670-004,2013,True,True,12,0.4,3920,0.75,0,0,0,0.315,Bon,9
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145100608,TS1500-401670-003,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145200611,TS1500-402461-3090-08,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,15
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145200706,TS1500-402461-3090-09,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Test Table,TSK--Test Table,assembly/testing,immo928097,TS1500-402460-3090-015,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Test Table,TSK--Test Table,assembly/testing,2145200704,TS1500-402461-3090-36,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
